index,name,rank,generation,evolves_from,type1,type2,hp,atk,def,spatk,spdef,speed,total
37,Vulpix,Ordinary,1,Original,Fire,Fire,38,41,40,50,65,65,299
38,Ninetales,Ordinary,1,Vulpix,Fire,Fire,73,76,75,81,100,100,505
39,Jigglypuff,Ordinary,1,Igglybuff,Normal,Fairy,115,45,20,45,25,20,270
40,Wigglytuff,Ordinary,1,Jigglypuff,Normal,Fairy,140,70,45,85,50,45,435
41,Zubat,Ordinary,1,Original,Poison,Flying,40,45,35,30,40,55,245
42,Golbat,Ordinary,1,Zubat,Poison,Flying,75,80,70,65,75,90,455
43,Oddish,Ordinary,1,Original,Grass,Poison,45,50,55,75,65,30,320
44,Gloom,Ordinary,1,Oddish,Grass,Poison,60,65,70,85,75,40,395
45,Vileplume,Ordinary,1,Gloom,Grass,Poison,75,80,85,110,90,50,490
46,Paras,Ordinary,1,Original,Bug,Grass,35,70,55,45,55,25,285
47,Parasect,Ordinary,1,Paras,Bug,Grass,60,95,80,60,80,30,405
48,Venonat,Ordinary,1,Original,Bug,Poison,60,55,50,40,55,45,305
49,Venomoth,Ordinary,1,Venonat,Bug,Poison,70,65,60,90,75,90,450
50,Diglett,Ordinary,1,Original,Ground,Ground,10,55,25,35,45,95,265
51,Dugtrio,Ordinary,1,Diglett,Ground,Ground,35,100,50,50,70,120,425
52,Meowth,Ordinary,1,Original,Normal,Normal,40,45,35,40,40,90,290
53,Persian,Ordinary,1,Meowth,Normal,Normal,65,70,60,65,65,115,440
54,Psyduck,Ordinary,1,Original,Water,Water,50,52,48,65,50,55,320
55,Golduck,Ordinary,1,Psyduck,Water,Water,80,82,78,95,80,85,500
56,Mankey,Ordinary,1,Original,Fighting,Fighting,40,80,35,35,45,70,305
57,Primeape,Ordinary,1,Mankey,Fighting,Fighting,65,105,60,60,70,95,455
58,Growlithe,Ordinary,1,Original,Fire,Fire,55,70,45,70,50,60,350
59,Arcanine,Ordinary,1,Growlithe,Fire,Fire,90,110,80,100,80,95,555
60,Poliwag,Ordinary,1,Original,Water,Water,40,50,40,40,40,90,300
61,Poliwhirl,Ordinary,1,Poliwag,Water,Water,65,65,65,50,50,90,385
62,Poliwrath,Ordinary,1,Poliwhirl,Water,Fighting,90,95,95,70,90,70,510
63,Abra,Ordinary,1,Original,Psychic,Psychic,25,20,15,105,55,90,310
64,Kadabra,Ordinary,1,Abra,Psychic,Psychic,40,35,30,120,70,105,400
65,Alakazam,Ordinary,1,Kadabra,Psychic,Psychic,55,50,45,135,95,120,500
66,Machop,Ordinary,1,Original,Fighting,Fighting,70,80,50,35,35,35,305
67,Machoke,Ordinary,1,Machop,Fighting,Fighting,80,100,70,50,60,45,405
68,Machamp,Ordinary,1,Machoke,Fighting,Fighting,90,130,80,65,85,55,505
69,Bellsprout,Ordinary,1,Original,Grass,Poison,50,75,35,70,30,40,300
70,Weepinbell,Ordinary,1,Bellsprout,Grass,Poison,65,90,50,85,45,55,390
71,Victreebel,Ordinary,1,Weepinbell,Grass,Poison,80,105,65,100,70,70,490
72,Tentacool,Ordinary,1,Original,Water,Poison,40,40,35,50,100,70,335
73,Tentacruel,Ordinary,1,Tentacool,Water,Poison,80,70,65,80,120,100,515
74,Geodude,Ordinary,1,Original,Rock,Ground,40,80,100,30,30,20,300
75,Graveler,Ordinary,1,Geodude,Rock,Ground,55,95,115,45,45,35,390
76,Golem,Ordinary,1,Graveler,Rock,Ground,80,120,130,55,65,45,495
77,Ponyta,Ordinary,1,Original,Fire,Fire,50,85,55,65,65,90,410
78,Rapidash,Ordinary,1,Ponyta,Fire,Fire,65,100,70,80,80,105,500
79,Slowpoke,Ordinary,1,Original,Water,Psychic,90,65,65,40,40,15,315
80,Slowbro,Ordinary,1,Slowpoke,Water,Psychic,95,75,110,100,80,30,490
81,Magnemite,Ordinary,1,Original,Electric,Steel,25,35,70,95,55,45,325
82,Magneton,Ordinary,1,Magnemite,Electric,Steel,50,60,95,120,70,70,465
83,Farfetchd,Ordinary,1,Original,Normal,Flying,52,90,55,58,62,60,377
84,Doduo,Ordinary,1,Original,Normal,Flying,35,85,45,35,35,75,310
85,Dodrio,Ordinary,1,Doduo,Normal,Flying,60,110,70,60,60,110,470
86,Seel,Ordinary,1,Original,Water,Water,65,45,55,45,70,45,325
87,Dewgong,Ordinary,1,Seel,Water,Ice,90,70,80,70,95,70,475
88,Grimer,Ordinary,1,Original,Poison,Poison,80,80,50,40,50,25,325
89,Muk,Ordinary,1,Grimer,Poison,Poison,105,105,75,65,100,50,500
90,Shellder,Ordinary,1,Original,Water,Water,30,65,100,45,25,40,305
91,Cloyster,Ordinary,1,Shellder,Water,Ice,50,95,180,85,45,70,525
92,Gastly,Ordinary,1,Original,Ghost,Poison,30,35,30,100,35,80,310
93,Haunter,Ordinary,1,Gastly,Ghost,Poison,45,50,45,115,55,95,405
94,Gengar,Ordinary,1,Haunter,Ghost,Poison,60,65,60,130,75,110,500
95,Onix,Ordinary,1,Original,Rock,Ground,35,45,160,30,45,70,385
96,Drowzee,Ordinary,1,Original,Psychic,Psychic,60,48,45,43,90,42,328
97,Hypno,Ordinary,1,Drowzee,Psychic,Psychic,85,73,70,73,115,67,483
98,Krabby,Ordinary,1,Original,Water,Water,30,105,90,25,25,50,325
99,Kingler,Ordinary,1,Krabby,Water,Water,55,130,115,50,50,75,475
100,Voltorb,Ordinary,1,Original,Electric,Electric,40,30,50,55,55,100,330
101,Electrode,Ordinary,1,Voltorb,Electric,Electric,60,50,70,80,80,150,490
102,Exeggcute,Ordinary,1,Original,Grass,Psychic,60,40,80,60,45,40,325
103,Exeggutor,Ordinary,1,Exeggcute,Grass,Psychic,95,95,85,125,75,55,530
104,Cubone,Ordinary,1,Original,Ground,Ground,50,50,95,40,50,35,320
105,Marowak,Ordinary,1,Cubone,Ground,Ground,60,80,110,50,80,45,425
106,Hitmonlee,Ordinary,1,Tyrogue,Fighting,Fighting,50,120,53,35,110,87,455
107,Hitmonchan,Ordinary,1,Tyrogue,Fighting,Fighting,50,105,79,35,110,76,455
108,Lickitung,Ordinary,1,Original,Normal,Normal,90,55,75,60,75,30,385
109,Koffing,Ordinary,1,Original,Poison,Poison,40,65,95,60,45,35,340
110,Weezing,Ordinary,1,Koffing,Poison,Poison,65,90,120,85,70,60,490
111,Rhyhorn,Ordinary,1,Original,Ground,Rock,80,85,95,30,30,25,345
112,Rhydon,Ordinary,1,Rhyhorn,Ground,Rock,105,130,120,45,45,40,485
113,Chansey,Ordinary,1,Happiny,Normal,Normal,250,5,5,35,105,50,450
114,Tangela,Ordinary,1,Original,Grass,Grass,65,55,115,100,40,60,435
115,Kangaskhan,Ordinary,1,Original,Normal,Normal,105,95,80,40,80,90,490
116,Horsea,Ordinary,1,Original,Water,Water,30,40,70,70,25,60,295
117,Seadra,Ordinary,1,Horsea,Water,Water,55,65,95,95,45,85,440
118,Goldeen,Ordinary,1,Original,Water,Water,45,67,60,35,50,63,320
119,Seaking,Ordinary,1,Goldeen,Water,Water,80,92,65,65,80,68,450
120,Staryu,Ordinary,1,Original,Water,Water,30,45,55,70,55,85,340
121,Starmie,Ordinary,1,Staryu,Water,Psychic,60,75,85,100,85,115,520
122,Mr-Mime,Ordinary,1,Mime-Jr,Psychic,Fairy,40,45,65,100,120,90,460
123,Scyther,Ordinary,1,Original,Bug,Flying,70,110,80,55,80,105,500
124,Jynx,Ordinary,1,Smoochum,Ice,Psychic,65,50,35,115,95,95,455
125,Electabuzz,Ordinary,1,Elekid,Electric,Electric,65,83,57,95,85,105,490
126,Magmar,Ordinary,1,Magby,Fire,Fire,65,95,57,100,85,93,495
127,Pinsir,Ordinary,1,Original,Bug,Bug,65,125,100,55,70,85,500
128,Tauros,Ordinary,1,Original,Normal,Normal,75,100,95,40,70,110,490
129,Magikarp,Ordinary,1,Original,Water,Water,20,10,55,15,20,80,200
130,Gyarados,Ordinary,1,Magikarp,Water,Flying,95,125,79,60,100,81,540
131,Lapras,Ordinary,1,Original,Water,Ice,130,85,80,85,95,60,535
132,Ditto,Ordinary,1,Original,Normal,Normal,48,48,48,48,48,48,288
133,Eevee,Ordinary,1,Original,Normal,Normal,55,55,50,45,65,55,325
134,Vaporeon,Ordinary,1,Eevee,Water,Water,130,65,60,110,95,65,525
135,Jolteon,Ordinary,1,Eevee,Electric,Electric,65,65,60,110,95,130,525
136,Flareon,Ordinary,1,Eevee,Fire,Fire,65,130,60,95,110,65,525
137,Porygon,Ordinary,1,Original,Normal,Normal,65,60,70,85,75,40,395
138,Omanyte,Ordinary,1,Original,Rock,Water,35,40,100,90,55,35,355
139,Omastar,Ordinary,1,Omanyte,Rock,Water,70,60,125,115,70,55,495
140,Kabuto,Ordinary,1,Original,Rock,Water,30,80,90,55,45,55,355
141,Kabutops,Ordinary,1,Kabuto,Rock,Water,60,115,105,65,70,80,495
142,Aerodactyl,Ordinary,1,Original,Rock,Flying,80,105,65,60,75,130,515
143,Snorlax,Ordinary,1,Munchlax,Normal,Normal,160,110,65,65,110,30,540
144,Articuno,Legendary,1,Original,Ice,Flying,90,85,100,95,125,85,580
145,Zapdos,Legendary,1,Original,Electric,Flying,90,90,85,125,90,100,580
146,Moltres,Legendary,1,Original,Fire,Flying,90,100,90,125,85,90,580
147,Dratini,Ordinary,1,Original,Dragon,Dragon,41,64,45,50,50,50,300
148,Dragonair,Ordinary,1,Dratini,Dragon,Dragon,61,84,65,70,70,70,420
149,Dragonite,Ordinary,1,Dragonair,Dragon,Flying,91,134,95,100,100,80,600
150,Mewtwo,Legendary,1,Original,Psychic,Psychic,106,110,90,154,90,130,680
151,Mew,Mythical,1,Original,Psychic,Psychic,100,100,100,100,100,100,600
152,Chikorita,Ordinary,2,Original,Grass,Grass,45,49,65,49,65,45,318
153,Bayleef,Ordinary,2,Chikorita,Grass,Grass,60,62,80,63,80,60,405
154,Meganium,Ordinary,2,Bayleef,Grass,Grass,80,82,100,83,100,80,525
155,Cyndaquil,Ordinary,2,Original,Fire,Fire,39,52,43,60,50,65,309
156,Quilava,Ordinary,2,Cyndaquil,Fire,Fire,58,64,58,80,65,80,405
157,Typhlosion,Ordinary,2,Quilava,Fire,Fire,78,84,78,109,85,100,534
158,Totodile,Ordinary,2,Original,Water,Water,50,65,64,44,48,43,314
159,Croconaw,Ordinary,2,Totodile,Water,Water,65,80,80,59,63,58,405
160,Feraligatr,Ordinary,2,Croconaw,Water,Water,85,105,100,79,83,78,530
161,Sentret,Ordinary,2,Original,Normal,Normal,35,46,34,35,45,20,215
162,Furret,Ordinary,2,Sentret,Normal,Normal,85,76,64,45,55,90,415
163,Hoothoot,Ordinary,2,Original,Normal,Flying,60,30,30,36,56,50,262
164,Noctowl,Ordinary,2,Hoothoot,Normal,Flying,100,50,50,86,96,70,452
165,Ledyba,Ordinary,2,Original,Bug,Flying,40,20,30,40,80,55,265
166,Ledian,Ordinary,2,Ledyba,Bug,Flying,55,35,50,55,110,85,390
167,Spinarak,Ordinary,2,Original,Bug,Poison,40,60,40,40,40,30,250
168,Ariados,Ordinary,2,Spinarak,Bug,Poison,70,90,70,60,70,40,400
169,Crobat,Ordinary,2,Golbat,Poison,Flying,85,90,80,70,80,130,535
170,Chinchou,Ordinary,2,Original,Water,Electric,75,38,38,56,56,67,330
171,Lanturn,Ordinary,2,Chinchou,Water,Electric,125,58,58,76,76,67,460
172,Pichu,Baby,2,Original,Electric,Electric,20,40,15,35,35,60,205
173,Cleffa,Baby,2,Original,Fairy,Fairy,50,25,28,45,55,15,218
174,Igglybuff,Baby,2,Original,Normal,Fairy,90,30,15,40,20,15,210
175,Togepi,Baby,2,Original,Fairy,Fairy,35,20,65,40,65,20,245
176,Togetic,Ordinary,2,Togepi,Fairy,Flying,55,40,85,80,105,40,405
177,Natu,Ordinary,2,Original,Psychic,Flying,40,50,45,70,45,70,320
178,Xatu,Ordinary,2,Natu,Psychic,Flying,65,75,70,95,70,95,470
179,Mareep,Ordinary,2,Original,Electric,Electric,55,40,40,65,45,35,280
180,Flaaffy,Ordinary,2,Mareep,Electric,Electric,70,55,55,80,60,45,365
181,Ampharos,Ordinary,2,Flaaffy,Electric,Electric,90,75,85,115,90,55,510
182,Bellossom,Ordinary,2,Gloom,Grass,Grass,75,80,95,90,100,50,490
183,Marill,Ordinary,2,Azurill,Water,Fairy,70,20,50,20,50,40,250
184,Azumarill,Ordinary,2,Marill,Water,Fairy,100,50,80,60,80,50,420
185,Sudowoodo,Ordinary,2,Bonsly,Rock,Rock,70,100,115,30,65,30,410
186,Politoed,Ordinary,2,Poliwhirl,Water,Water,90,75,75,90,100,70,500
187,Hoppip,Ordinary,2,Original,Grass,Flying,35,35,40,35,55,50,250
188,Skiploom,Ordinary,2,Hoppip,Grass,Flying,55,45,50,45,65,80,340
189,Jumpluff,Ordinary,2,Skiploom,Grass,Flying,75,55,70,55,95,110,460
190,Aipom,Ordinary,2,Original,Normal,Normal,55,70,55,40,55,85,360
191,Sunkern,Ordinary,2,Original,Grass,Grass,30,30,30,30,30,30,180
192,Sunflora,Ordinary,2,Sunkern,Grass,Grass,75,75,55,105,85,30,425
193,Yanma,Ordinary,2,Original,Bug,Flying,65,65,45,75,45,95,390
194,Wooper,Ordinary,2,Original,Water,Ground,55,45,45,25,25,15,210
195,Quagsire,Ordinary,2,Wooper,Water,Ground,95,85,85,65,65,35,430
196,Espeon,Ordinary,2,Eevee,Psychic,Psychic,65,65,60,130,95,110,525
197,Umbreon,Ordinary,2,Eevee,Dark,Dark,95,65,110,60,130,65,525
198,Murkrow,Ordinary,2,Original,Dark,Flying,60,85,42,85,42,91,405
199,Slowking,Ordinary,2,Slowpoke,Water,Psychic,95,75,80,100,110,30,490
200,Misdreavus,Ordinary,2,Original,Ghost,Ghost,60,60,60,85,85,85,435
201,Unown,Ordinary,2,Original,Psychic,Psychic,48,72,48,72,48,48,336
202,Wobbuffet,Ordinary,2,Wynaut,Psychic,Psychic,190,33,58,33,58,33,405
203,Girafarig,Ordinary,2,Original,Normal,Psychic,70,80,65,90,65,85,455
204,Pineco,Ordinary,2,Original,Bug,Bug,50,65,90,35,35,15,290
205,Forretress,Ordinary,2,Pineco,Bug,Steel,75,90,140,60,60,40,465
206,Dunsparce,Ordinary,2,Original,Normal,Normal,100,70,70,65,65,45,415
207,Gligar,Ordinary,2,Original,Ground,Flying,65,75,105,35,65,85,430
208,Steelix,Ordinary,2,Onix,Steel,Ground,75,85,200,55,65,30,510
209,Snubbull,Ordinary,2,Original,Fairy,Fairy,60,80,50,40,40,30,300
210,Granbull,Ordinary,2,Snubbull,Fairy,Fairy,90,120,75,60,60,45,450
211,Qwilfish,Ordinary,2,Original,Water,Poison,65,95,85,55,55,85,440
212,Scizor,Ordinary,2,Scyther,Bug,Steel,70,130,100,55,80,65,500
213,Shuckle,Ordinary,2,Original,Bug,Rock,20,10,230,10,230,5,505
214,Heracross,Ordinary,2,Original,Bug,Fighting,80,125,75,40,95,85,500
215,Sneasel,Ordinary,2,Original,Dark,Ice,55,95,55,35,75,115,430
216,Teddiursa,Ordinary,2,Original,Normal,Normal,60,80,50,50,50,40,330
217,Ursaring,Ordinary,2,Teddiursa,Normal,Normal,90,130,75,75,75,55,500
218,Slugma,Ordinary,2,Original,Fire,Fire,40,40,40,70,40,20,250
219,Magcargo,Ordinary,2,Slugma,Fire,Rock,60,50,120,90,80,30,430
220,Swinub,Ordinary,2,Original,Ice,Ground,50,50,40,30,30,50,250
221,Piloswine,Ordinary,2,Swinub,Ice,Ground,100,100,80,60,60,50,450
222,Corsola,Ordinary,2,Original,Water,Rock,65,55,95,65,95,35,410
223,Remoraid,Ordinary,2,Original,Water,Water,35,65,35,65,35,65,300
224,Octillery,Ordinary,2,Remoraid,Water,Water,75,105,75,105,75,45,480
225,Delibird,Ordinary,2,Original,Ice,Flying,45,55,45,65,45,75,330
226,Mantine,Ordinary,2,Mantyke,Water,Flying,85,40,70,80,140,70,485
227,Skarmory,Ordinary,2,Original,Steel,Flying,65,80,140,40,70,70,465
228,Houndour,Ordinary,2,Original,Dark,Fire,45,60,30,80,50,65,330
229,Houndoom,Ordinary,2,Houndour,Dark,Fire,75,90,50,110,80,95,500
230,Kingdra,Ordinary,2,Seadra,Water,Dragon,75,95,95,95,95,85,540
231,Phanpy,Ordinary,2,Original,Ground,Ground,90,60,60,40,40,40,330
232,Donphan,Ordinary,2,Phanpy,Ground,Ground,90,120,120,60,60,50,500
233,Porygon2,Ordinary,2,Porygon,Normal,Normal,85,80,90,105,95,60,515
234,Stantler,Ordinary,2,Original,Normal,Normal,73,95,62,85,65,85,465
235,Smeargle,Ordinary,2,Original,Normal,Normal,55,20,35,20,45,75,250
236,Tyrogue,Baby,2,Original,Fighting,Fighting,35,35,35,35,35,35,210
237,Hitmontop,Ordinary,2,Tyrogue,Fighting,Fighting,50,95,95,35,110,70,455
238,Smoochum,Baby,2,Original,Ice,Psychic,45,30,15,85,65,65,305
239,Elekid,Baby,2,Original,Electric,Electric,45,63,37,65,55,95,360
240,Magby,Baby,2,Original,Fire,Fire,45,75,37,70,55,83,365
241,Miltank,Ordinary,2,Original,Normal,Normal,95,80,105,40,70,100,490
242,Blissey,Ordinary,2,Chansey,Normal,Normal,255,10,10,75,135,55,540
243,Raikou,Legendary,2,Original,Electric,Electric,90,85,75,115,100,115,580
244,Entei,Legendary,2,Original,Fire,Fire,115,115,85,90,75,100,580
245,Suicune,Legendary,2,Original,Water,Water,100,75,115,90,115,85,580
246,Larvitar,Ordinary,2,Original,Rock,Ground,50,64,50,45,50,41,300
247,Pupitar,Ordinary,2,Larvitar,Rock,Ground,70,84,70,65,70,51,410
248,Tyranitar,Ordinary,2,Pupitar,Rock,Dark,100,134,110,95,100,61,600
249,Lugia,Legendary,2,Original,Psychic,Flying,106,90,130,90,154,110,680
250,Ho-Oh,Legendary,2,Original,Fire,Flying,106,130,90,110,154,90,680
251,Celebi,Mythical,2,Original,Psychic,Grass,100,100,100,100,100,100,600
252,Treecko,Ordinary,3,Original,Grass,Grass,40,45,35,65,55,70,310
253,Grovyle,Ordinary,3,Treecko,Grass,Grass,50,65,45,85,65,95,405
254,Sceptile,Ordinary,3,Grovyle,Grass,Grass,70,85,65,105,85,120,530
255,Torchic,Ordinary,3,Original,Fire,Fire,45,60,40,70,50,45,310
256,Combusken,Ordinary,3,Torchic,Fire,Fighting,60,85,60,85,60,55,405
257,Blaziken,Ordinary,3,Combusken,Fire,Fighting,80,120,70,110,70,80,530
258,Mudkip,Ordinary,3,Original,Water,Water,50,70,50,50,50,40,310
259,Marshtomp,Ordinary,3,Mudkip,Water,Ground,70,85,70,60,70,50,405
260,Swampert,Ordinary,3,Marshtomp,Water,Ground,100,110,90,85,90,60,535
261,Poochyena,Ordinary,3,Original,Dark,Dark,35,55,35,30,30,35,220
262,Mightyena,Ordinary,3,Poochyena,Dark,Dark,70,90,70,60,60,70,420
263,Zigzagoon,Ordinary,3,Original,Normal,Normal,38,30,41,30,41,60,240
264,Linoone,Ordinary,3,Zigzagoon,Normal,Normal,78,70,61,50,61,100,420
265,Wurmple,Ordinary,3,Original,Bug,Bug,45,45,35,20,30,20,195
266,Silcoon,Ordinary,3,Wurmple,Bug,Bug,50,35,55,25,25,15,205
267,Beautifly,Ordinary,3,Silcoon,Bug,Flying,60,70,50,100,50,65,395
268,Cascoon,Ordinary,3,Wurmple,Bug,Bug,50,35,55,25,25,15,205
269,Dustox,Ordinary,3,Cascoon,Bug,Poison,60,50,70,50,90,65,385
270,Lotad,Ordinary,3,Original,Water,Grass,40,30,30,40,50,30,220
271,Lombre,Ordinary,3,Lotad,Water,Grass,60,50,50,60,70,50,340
272,Ludicolo,Ordinary,3,Lombre,Water,Grass,80,70,70,90,100,70,480
273,Seedot,Ordinary,3,Original,Grass,Grass,40,40,50,30,30,30,220
274,Nuzleaf,Ordinary,3,Seedot,Grass,Dark,70,70,40,60,40,60,340
275,Shiftry,Ordinary,3,Nuzleaf,Grass,Dark,90,100,60,90,60,80,480
276,Taillow,Ordinary,3,Original,Normal,Flying,40,55,30,30,30,85,270
277,Swellow,Ordinary,3,Taillow,Normal,Flying,60,85,60,75,50,125,455
278,Wingull,Ordinary,3,Original,Water,Flying,40,30,30,55,30,85,270
279,Pelipper,Ordinary,3,Wingull,Water,Flying,60,50,100,95,70,65,440
280,Ralts,Ordinary,3,Original,Psychic,Fairy,28,25,25,45,35,40,198
281,Kirlia,Ordinary,3,Ralts,Psychic,Fairy,38,35,35,65,55,50,278
282,Gardevoir,Ordinary,3,Kirlia,Psychic,Fairy,68,65,65,125,115,80,518
283,Surskit,Ordinary,3,Original,Bug,Water,40,30,32,50,52,65,269
284,Masquerain,Ordinary,3,Surskit,Bug,Flying,70,60,62,100,82,80,454
285,Shroomish,Ordinary,3,Original,Grass,Grass,60,40,60,40,60,35,295
286,Breloom,Ordinary,3,Shroomish,Grass,Fighting,60,130,80,60,60,70,460
287,Slakoth,Ordinary,3,Original,Normal,Normal,60,60,60,35,35,30,280
288,Vigoroth,Ordinary,3,Slakoth,Normal,Normal,80,80,80,55,55,90,440
289,Slaking,Ordinary,3,Vigoroth,Normal,Normal,150,160,100,95,65,100,670
290,Nincada,Ordinary,3,Original,Bug,Ground,31,45,90,30,30,40,266
291,Ninjask,Ordinary,3,Nincada,Bug,Flying,61,90,45,50,50,160,456
292,Shedinja,Ordinary,3,Nincada,Bug,Ghost,1,90,45,30,30,40,236
293,Whismur,Ordinary,3,Original,Normal,Normal,64,51,23,51,23,28,240
294,Loudred,Ordinary,3,Whismur,Normal,Normal,84,71,43,71,43,48,360
295,Exploud,Ordinary,3,Loudred,Normal,Normal,104,91,63,91,73,68,490
296,Makuhita,Ordinary,3,Original,Fighting,Fighting,72,60,30,20,30,25,237
297,Hariyama,Ordinary,3,Makuhita,Fighting,Fighting,144,120,60,40,60,50,474
298,Azurill,Baby,3,Original,Normal,Fairy,50,20,40,20,40,20,190
299,Nosepass,Ordinary,3,Original,Rock,Rock,30,45,135,45,90,30,375
300,Skitty,Ordinary,3,Original,Normal,Normal,50,45,45,35,35,50,260
301,Delcatty,Ordinary,3,Skitty,Normal,Normal,70,65,65,55,55,90,400
302,Sableye,Ordinary,3,Original,Dark,Ghost,50,75,75,65,65,50,380
303,Mawile,Ordinary,3,Original,Steel,Fairy,50,85,85,55,55,50,380
304,Aron,Ordinary,3,Original,Steel,Rock,50,70,100,40,40,30,330
305,Lairon,Ordinary,3,Aron,Steel,Rock,60,90,140,50,50,40,430
306,Aggron,Ordinary,3,Lairon,Steel,Rock,70,110,180,60,60,50,530
307,Meditite,Ordinary,3,Original,Fighting,Psychic,30,40,55,40,55,60,280
308,Medicham,Ordinary,3,Meditite,Fighting,Psychic,60,60,75,60,75,80,410
309,Electrike,Ordinary,3,Original,Electric,Electric,40,45,40,65,40,65,295
310,Manectric,Ordinary,3,Electrike,Electric,Electric,70,75,60,105,60,105,475
311,Plusle,Ordinary,3,Original,Electric,Electric,60,50,40,85,75,95,405
312,Minun,Ordinary,3,Original,Electric,Electric,60,40,50,75,85,95,405
313,Volbeat,Ordinary,3,Original,Bug,Bug,65,73,75,47,85,85,430
314,Illumise,Ordinary,3,Original,Bug,Bug,65,47,75,73,85,85,430
315,Roselia,Ordinary,3,Budew,Grass,Poison,50,60,45,100,80,65,400
316,Gulpin,Ordinary,3,Original,Poison,Poison,70,43,53,43,53,40,302
317,Swalot,Ordinary,3,Gulpin,Poison,Poison,100,73,83,73,83,55,467
318,Carvanha,Ordinary,3,Original,Water,Dark,45,90,20,65,20,65,305
319,Sharpedo,Ordinary,3,Carvanha,Water,Dark,70,120,40,95,40,95,460
320,Wailmer,Ordinary,3,Original,Water,Water,130,70,35,70,35,60,400
321,Wailord,Ordinary,3,Wailmer,Water,Water,170,90,45,90,45,60,500
322,Numel,Ordinary,3,Original,Fire,Ground,60,60,40,65,45,35,305
323,Camerupt,Ordinary,3,Numel,Fire,Ground,70,100,70,105,75,40,460
324,Torkoal,Ordinary,3,Original,Fire,Fire,70,85,140,85,70,20,470
325,Spoink,Ordinary,3,Original,Psychic,Psychic,60,25,35,70,80,60,330
326,Grumpig,Ordinary,3,Spoink,Psychic,Psychic,80,45,65,90,110,80,470
327,Spinda,Ordinary,3,Original,Normal,Normal,60,60,60,60,60,60,360
328,Trapinch,Ordinary,3,Original,Ground,Ground,45,100,45,45,45,10,290
329,Vibrava,Ordinary,3,Trapinch,Ground,Dragon,50,70,50,50,50,70,340
330,Flygon,Ordinary,3,Vibrava,Ground,Dragon,80,100,80,80,80,100,520
